scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
ring_enemy,1024,0,0,16,512,513,1026,514,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.053208,0.067625,3.260458,3.381291,0.081583,2.785334,0.506125,3.373042,161796
ring_enemy,1024,0,1,16,512,513,1026,514,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.06775,0.098,3.06525,3.231,0.104292,3.324458,0.590417,4.019167,161796
ring_enemy,1024,0,2,16,512,513,1026,514,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.05875,0.091666,3.316542,3.466958,0.1095,3.031417,0.517125,3.658042,161796
ring_enemy,1024,0,3,16,512,513,1026,514,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.076208,0.109917,3.118833,3.304958,0.135,2.876167,0.675333,3.6865,161796
ring_enemy,1024,0,4,16,512,513,1026,514,1025,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.6653345369377348e-16,True,0.060292,0.089791,3.149209,3.299292,0.07725,2.827875,0.58275,3.487875,161796
star_leaf,1024,0,0,16,0,2,3,2,1024,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.055,0.082167,0.018166,0.155333,0.068792,2.958292,0.507166,3.53425,161786
star_leaf,1024,0,1,16,0,2,3,2,1024,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.049584,0.074875,0.020833,0.145292,0.105083,2.785042,0.519541,3.409666,161786
star_leaf,1024,0,2,16,0,2,3,2,1024,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.060458,0.091875,0.022208,0.174541,0.076334,2.797625,0.575916,3.449875,161786
star_leaf,1024,0,3,16,0,2,3,2,1024,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.05025,0.076458,0.024292,0.151,0.112291,2.904375,0.524542,3.541208,161786
star_leaf,1024,0,4,16,0,2,3,2,1024,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.066125,0.081917,0.018375,0.166417,0.069042,2.726125,0.468,3.263167,161786
star_hub,1024,0,0,16,0,2,1025,1024,1024,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.044917,0.077125,2.642667,2.764709,0.076625,2.755333,0.520417,3.352375,161786
star_hub,1024,0,1,16,0,2,1025,1024,1024,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.055333,0.078417,2.784417,2.918167,0.120208,2.795084,0.557291,3.472583,161786
star_hub,1024,0,2,16,0,2,1025,1024,1024,0.0,0.0,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.066,0.102875,2.614958,2.783833,0.073875,2.7735,0.5055,3.352875,161786
